a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
1.46537,1.28960,0.39264,0.35726,38.67114,0.70145,-1.10811,37.38154,0.30881,1.22791,1397.37927,0.09537
1.48806,1.24729,0.32215,0.35117,3.94763,0.73477,-1.13689,2.70034,0.41262,1.29252,7.29183,0.17026
1.52034,0.60830,0.11226,0.42842,3.23581,0.76244,-1.09192,2.62751,0.65018,1.19229,6.90383,0.42273
1.61406,1.13824,0.23837,0.40011,5.49153,0.75170,-1.21395,4.35329,0.51332,1.47367,18.95114,0.26350
1.58789,1.23000,0.44937,0.48024,1.76432,0.68729,-1.10765,0.53432,0.23792,1.22688,0.28550,0.05660
1.86855,0.81599,0.34919,0.64394,2.15282,0.88056,-1.22460,1.33682,0.53137,1.49965,1.78710,0.28236
1.86355,0.76952,0.19502,1.61551,0.25098,0.35633,-0.24804,-0.51854,0.16132,0.06152,0.26889,0.02602
0.87085,1.80612,0.27812,0.07621,18.18978,0.48023,-0.79463,16.38366,0.20211,0.63144,268.42423,0.04085
1.08662,1.95412,0.20325,0.10984,20.00385,0.47803,-0.97678,18.04973,0.27477,0.95410,325.79287,0.07550
1.95473,1.18068,0.19442,0.45389,30.43782,0.87739,-1.50084,29.25713,0.68297,2.25252,855.97975,0.46644
1.74333,1.14633,0.19949,0.39814,5.51866,0.63170,-1.34518,4.37232,0.43221,1.80951,19.11722,0.18681
0.55501,1.60460,0.36552,0.09615,8.81182,0.44267,-0.45885,7.20722,0.07715,0.21055,51.94399,0.00595
1.80241,0.80876,0.14477,0.36296,6.05363,0.82266,-1.43945,5.24487,0.67789,2.07201,27.50862,0.45954
0.55902,0.68316,0.28088,0.10271,-3.94783,0.35703,-0.45631,-4.63100,0.07615,0.20822,21.44615,0.00580
0.72251,1.97995,0.48605,0.12456,110.91419,0.60141,-0.59795,108.93425,0.11536,0.35755,11866.67052,0.01331
1.18211,1.27339,0.29554,0.17831,7.77454,0.66576,-1.00380,6.50115,0.37022,1.00761,42.26493,0.13706
1.51015,1.95487,0.13756,0.19091,11.50918,0.56393,-1.31924,9.55431,0.42637,1.74039,91.28492,0.18179
1.53894,1.75717,0.47785,0.21963,10.00405,1.06556,-1.31931,8.24687,0.58772,1.74057,68.01091,0.34541
1.35591,0.54558,0.47238,1.22792,0.33020,0.41911,-0.12799,-0.21538,-0.05327,0.01638,0.04639,0.00284
1.09080,1.47685,0.14264,0.21147,6.55548,0.37540,-0.87933,5.07863,0.23276,0.77321,25.79253,0.05418
1.67358,1.35052,0.39538,0.30006,4.62001,0.67614,-1.37352,3.26948,0.28077,1.88655,10.68953,0.07883
1.71177,1.64343,0.41913,0.43830,31.52035,0.85804,-1.27346,29.87692,0.43891,1.62171,892.63052,0.19265
0.50864,0.98688,0.24658,0.10777,7.86243,0.29278,-0.40087,6.87555,0.04619,0.16070,47.27316,0.00213
0.85632,1.05988,0.19091,0.13788,15.93615,0.43095,-0.71844,14.87627,0.24005,0.51616,221.30337,0.05762
1.19524,1.06968,0.44533,0.25274,5.48494,0.71081,-0.94250,4.41527,0.26548,0.88830,19.49457,0.07048
1.07029,1.09823,0.33207,0.23757,5.83540,0.66722,-0.83273,4.73717,0.33515,0.69344,22.44074,0.11233
