a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,1.48806,1.24729,0.32215,0.29392,6.59735,0.73473,-1.19415,5.35006,0.41258,1.42599,28.62313,0.17022
4000.00000,0.60830,0.54598,0.20307,0.26831,1.29881,0.27802,-0.33999,0.75284,0.07495,0.11559,0.56676,0.00562
4000.00000,1.01890,1.05656,0.49506,0.23562,4.83987,0.71490,-0.78328,3.78331,0.21984,0.61353,14.31343,0.04833
4000.00000,1.23000,1.81013,0.46028,0.17116,12.80505,0.73113,-1.05885,10.99492,0.27085,1.12116,120.88816,0.07336
4000.00000,1.43445,1.44734,0.39325,0.24435,8.72612,0.76882,-1.19010,7.27878,0.37557,1.41633,52.98064,0.14106
4000.00000,0.87085,1.80612,0.27812,0.12244,12.59357,0.43095,-0.74841,10.78744,0.15282,0.56011,116.36893,0.02336
4000.00000,1.95412,0.88720,0.36269,0.54411,3.23888,1.05919,-1.41001,2.35168,0.69649,1.98812,5.53038,0.48511
4000.00000,0.75464,1.27966,0.23480,0.14577,6.76229,0.36072,-0.60886,5.48263,0.12592,0.37072,30.05927,0.01586
4000.00000,0.55501,1.60460,0.36552,0.08662,10.43531,0.43639,-0.46839,8.83071,0.07087,0.21939,77.98144,0.00502
4000.00000,0.80876,0.66788,0.20790,0.28347,2.01824,0.34773,-0.52529,1.35036,0.13983,0.27593,1.82347,0.01955
4000.00000,0.97423,1.26085,0.11663,0.18727,6.89161,0.32063,-0.78696,5.63076,0.20400,0.61931,31.70548,0.04162
4000.00000,1.18211,1.27339,0.29554,0.24032,5.99999,0.57526,-0.94179,4.72660,0.27972,0.88697,22.34071,0.07824
4000.00000,1.95487,0.64085,0.36904,0.74602,1.70634,1.09926,-1.20885,1.06549,0.73022,1.46132,1.13527,0.53322
4000.00000,1.91692,1.52487,0.29887,0.31466,9.24239,0.84512,-1.60227,7.71752,0.54625,2.56725,59.56007,0.29839
4000.00000,1.53429,1.51477,0.18627,0.25624,8.83078,0.58682,-1.27805,7.31601,0.40055,1.63341,53.52395,0.16044
4000.00000,1.99912,0.57232,0.49087,0.87342,1.33705,1.22584,-1.12570,0.76473,0.73497,1.26719,0.58482,0.54019
4000.00000,1.81777,1.10621,0.23081,0.41493,4.81331,0.83111,-1.40285,3.70710,0.60030,1.96798,13.74262,0.36035
4000.00000,1.72675,0.68031,0.31780,0.61300,1.95737,0.89297,-1.11376,1.27705,0.57518,1.24045,1.63086,0.33083
4000.00000,1.08284,1.17304,0.19502,0.23207,5.37263,0.44280,-0.85077,4.19959,0.24779,0.72381,17.63656,0.06140
4000.00000,1.42924,1.19524,0.25191,0.30158,5.57311,0.64550,-1.12766,4.37787,0.39359,1.27162,19.16576,0.15491
4000.00000,1.07029,1.09823,0.33207,0.24662,4.72961,0.57800,-0.82367,3.63138,0.24593,0.67843,13.18689,0.06048
4000.00000,1.93329,0.52735,0.17831,0.88657,1.20484,0.85689,-1.04671,0.67749,0.67858,1.09561,0.45899,0.46048
4000.00000,0.59040,1.90165,0.24065,0.07535,15.26107,0.31751,-0.51505,13.35941,0.07686,0.26528,178.47395,0.00591
4000.00000,1.70454,1.30874,0.22452,0.32081,6.89254,0.72691,-1.38373,5.58379,0.50239,1.91471,31.17875,0.25239
4000.00000,0.77172,1.52168,0.17258,0.12553,9.34722,0.30315,-0.64620,7.82555,0.13058,0.41757,61.23919,0.01705
4000.00000,1.94439,1.22532,0.42240,0.40167,5.72222,1.05670,-1.54272,4.49691,0.63430,2.37998,20.22216,0.40234
4000.00000,1.72878,1.82631,0.19123,0.23575,13.56418,0.62351,-1.49303,11.73787,0.43227,2.22915,137.77752,0.18686
4000.00000,1.03013,0.85531,0.41221,0.28953,3.15141,0.64774,-0.74060,2.29611,0.23553,0.54849,5.27211,0.05548
4000.00000,1.43579,1.17765,0.33464,0.30185,5.75297,0.73425,-1.13393,4.57531,0.39960,1.28581,20.93350,0.15968
4000.00000,0.53546,1.46296,0.34284,0.09366,7.97409,0.41024,-0.44179,6.51113,0.06740,0.19518,42.39483,0.00454
4000.00000,1.98168,0.70466,0.37806,0.71521,1.93829,1.12593,-1.26647,1.23363,0.74788,1.60394,1.52185,0.55932
4000.00000,0.69259,0.65616,0.38974,0.28234,1.48780,0.48632,-0.41025,0.83163,0.09659,0.16830,0.69161,0.00933
4000.00000,0.60414,1.27859,0.12705,0.11493,6.94143,0.21202,-0.48921,5.66284,0.08497,0.23932,32.06781,0.00722
4000.00000,1.29944,0.98650,0.23320,0.33566,3.83175,0.58409,-0.96377,2.84525,0.35089,0.92886,8.09546,0.12313
4000.00000,1.19781,0.59021,0.32492,0.45393,1.77811,0.61612,-0.74388,1.18790,0.29120,0.55335,1.41110,0.08480
4000.00000,0.64501,1.17556,0.40247,0.13283,5.81344,0.49688,-0.51218,4.63789,0.09442,0.26233,21.50999,0.00891
4000.00000,1.98873,1.89050,0.31598,0.26269,13.83085,0.80498,-1.72604,11.94035,0.48900,2.97921,142.57201,0.23912
4000.00000,0.69157,1.73910,0.41281,0.10314,10.96392,0.51593,-0.58843,9.22482,0.10312,0.34624,85.09725,0.01063
4000.00000,0.63146,1.90544,0.32152,0.08182,14.69817,0.41163,-0.54964,12.79273,0.09011,0.30210,163.65396,0.00812
